user_id,first_name,last_name,phone,username,email,city_id,password,joined_date
14,Bakianto,Prasetyo,+62-736-169-2424,BakiantoPrasetyo_1411,bakianto_prasetyo1302@yahoo.com,3471,(_p2P)CcuK,2023-11-24 05:02:52
15,Kasusra,Wastuti,+62-0914-021-1826,KasusraWastuti_5615,kasusra_wastuti9717@yahoo.com,7371,)41ZdSJwgn,2023-06-10 02:54:43
16,Jane,Sinaga,081 745 5348,JaneSinaga_1,jane_sinaga1779@hotmail.com,3471,pN3VOwj5*#,2023-10-16 22:34:49
17,Ulva,Usamah,+62 (35) 560 7211,UlvaUsamah_9493,ulva_usamah355@gmail.com,1375,T#(3SLo2vA,2023-11-11 22:32:47
18,Darman,Utama,0830540582,DarmanUtama_8827,darman_utama3132@yahoo.com,5171,BC2)5EGdg^,2023-08-26 19:28:45
19,Luis,Mangunsong,+62 (0281) 093 1804,LuisMangunsong_6459,luis_mangunsong3863@hotmail.com,1371,+14KHPNac!,2023-07-11 05:58:00
20,Mumpuni,Lazuardi,0891920606,MumpuniLazuardi_9412,mumpuni_lazuardi5822@hotmail.com,3174,tN@2ZU(rHz,2023-07-17 21:39:02
21,Lanang,Mangunsong,+62 (51) 020 3803,LanangMangunsong_9816,lanang_mangunsong8248@hotmail.com,3573,3iKXuK9i#(,2023-12-17 15:48:00
22,Jarwi,Hartati,+62 (0621) 341-5716,JarwiHartati_4736,jarwi_hartati7173@gmail.com,3174,r5KfKL7f$e,2023-06-10 08:37:28
23,Kairav,Samosir,+62 (01) 988-5838,KairavSamosir_1893,kairav_samosir3278@yahoo.com,3171,u8uWNP+q)B,2023-12-22 03:47:02
24,Farah,Wahyudin,+62 (481) 110-8908,FarahWahyudin_371,farah_wahyudin5003@yahoo.com,3471,!8IPB&1l)1,2023-11-10 20:47:19
25,Azalea,Halim,+62 (0134) 111-6092,AzaleaHalim_871,azalea_halim9706@gmail.com,7371,8ejmUBIt_E,2023-12-17 10:20:52
26,Atma,Puspasari,+62-0198-090-1604,AtmaPuspasari_9783,atma_puspasari6503@gmail.com,3172,dZ1C+woGp&,2023-09-14 05:02:42
27,Usman,Nuraini,+62-469-196-1396,UsmanNuraini_782,usman_nuraini2035@hotmail.com,3174,y%o4T4JrEu,2023-09-20 17:21:36
28,Dimas,Padmasari,(027) 972-9462,DimasPadmasari_5807,dimas_padmasari4819@hotmail.com,5171,4ujID^Wg#3,2023-10-24 21:19:32
29,Kayla,Saragih,0851800132,KaylaSaragih_266,kayla_saragih6556@gmail.com,3175,z6p9T^G1^5,2023-12-06 19:57:21
30,Padmi,Tampubolon,+62 (0930) 176 3519,PadmiTampubolon_6045,padmi_tampubolon1682@yahoo.com,3471,Tg6V@AVO&3,2023-12-06 01:37:10
31,Tasdik,Sinaga,+62-724-626-4369,TasdikSinaga_9911,tasdik_sinaga3540@yahoo.com,3578,HdT28KyJ#P,2023-11-05 23:05:02
32,Jane,Hardiansyah,(001) 824 1543,JaneHardiansyah_4888,jane_hardiansyah4705@gmail.com,3573,(8OiiJrCew,2023-07-15 17:08:28
33,Rangga,Anggriawan,(087) 337-9392,RanggaAnggriawan_904,rangga_anggriawan7514@yahoo.com,3573,$5E8a8GqC+,2023-10-26 05:39:44
34,Jessica,Ramadan,+62 (252) 901 7638,JessicaRamadan_7074,jessica_ramadan9615@yahoo.com,3578,TDfGwViq_7,2023-11-29 18:22:39
35,Danang,Putra,+62-327-166-4749,DanangPutra_1749,danang_putra1744@yahoo.com,3273,^dvz7QjX!_,2023-06-20 15:10:57
36,Darimin,Maryadi,+62-039-843-9473,DariminMaryadi_3969,darimin_maryadi6446@hotmail.com,3173,$hj9PW+Jy%,2023-11-04 17:38:30
37,Ivan,Marbun,(024) 251-8753,IvanMarbun_1752,ivan_marbun9724@hotmail.com,6471,Qi+b3P*P^6,2023-07-15 13:13:58
38,Kairav,Wijaya,+62 (042) 087-5922,KairavWijaya_1497,kairav_wijaya4233@hotmail.com,1371,_CZRVEHdr7,2023-07-15 08:57:05
39,Karen,Dabukke,+62-070-797-3669,KarenDabukke_6410,karen_dabukke9238@yahoo.com,3273,ZT7YpGH^c(,2023-11-27 01:00:23
40,Gabriella,Ardianto,0877928322,GabriellaArdianto_6771,gabriella_ardianto2982@gmail.com,3173,^8MaMkiUY+,2023-10-23 19:16:39
41,Kala,Pratiwi,+62-089-173-9354,KalaPratiwi_4511,kala_pratiwi7117@yahoo.com,3573,Sf0^Ni*y)b,2023-06-17 20:06:48
42,Luwar,Rahmawati,+62 (065) 418 8069,LuwarRahmawati_1633,luwar_rahmawati513@yahoo.com,3172,1I6kNFXr5(,2023-07-18 02:09:10
43,Belinda,Suwarno,+62 (11) 333-6097,BelindaSuwarno_6976,belinda_suwarno4335@yahoo.com,3578,Q5J^znb$^V,2023-08-25 05:17:35
44,Reksa,Haryanti,+62-690-214-7353,ReksaHaryanti_2057,reksa_haryanti8068@yahoo.com,6471,(2KY(6RlsZ,2023-07-11 03:32:18
45,Violet,Latupono,+62-0541-168-6119,VioletLatupono_15,violet_latupono7658@yahoo.com,3573,H&B6B84x+b,2023-06-24 22:07:24
46,Ganep,Namaga,(0219) 994-7824,GanepNamaga_9024,ganep_namaga4411@gmail.com,3171,E!D83Eh(ct,2023-10-11 02:06:00
47,Rafid,Pratama,+62 (63) 104-2500,RafidPratama_6319,rafid_pratama625@hotmail.com,1371,^Nv68Mee4n,2023-09-12 05:16:31
48,Aris,Sitompul,+62 (60) 035-1949,ArisSitompul_4606,aris_sitompul3173@yahoo.com,6471,$)PUsbc092,2023-11-23 20:20:07
49,Padmi,Hasanah,+62-034-185-3846,PadmiHasanah_4307,padmi_hasanah5202@yahoo.com,6472,#h5^7&IcW#,2023-07-11 01:38:26
50,Danang,Hardiansyah,+62 (96) 811-6097,DanangHardiansyah_9335,danang_hardiansyah964@hotmail.com,3471,WX@p2rFy@9,2023-09-10 15:54:39
51,Maras,Yuliarti,+62-0323-400-8037,MarasYuliarti_1283,maras_yuliarti3810@yahoo.com,1375,c*LW(2Kz4N,2023-07-14 05:33:49
52,Arta,Mustofa,+62-57-976-3293,ArtaMustofa_7825,arta_mustofa1953@yahoo.com,3573,tLpf3Iwp)l,2023-12-22 22:53:58
53,Murti,Usada,+62 (061) 636 8857,MurtiUsada_5989,murti_usada8044@yahoo.com,3471,q5s2QMaj#E,2023-10-08 07:07:33
54,Belinda,Hutapea,+62 (094) 098 8445,BelindaHutapea_8001,belinda_hutapea2910@yahoo.com,5171,@(b4TnsHD+,2023-12-02 01:29:43
55,Elvina,Sihombing,+62 (831) 678-9888,ElvinaSihombing_7746,elvina_sihombing5201@hotmail.com,3171,%1yBtnPu#u,2023-08-27 07:31:35
56,Bajragin,Anggraini,(0212) 278 9045,BajraginAnggraini_5386,bajragin_anggraini5727@yahoo.com,1375,#3hIt%kyqO,2023-07-19 21:30:40
57,Cakrajiya,Prakasa,0823275525,CakrajiyaPrakasa_6846,cakrajiya_prakasa1366@yahoo.com,3175,Zh2JCkFN@B,2023-10-21 09:14:29
58,Salman,Najmudin,(0717) 143-9193,SalmanNajmudin_3532,salman_najmudin7696@gmail.com,3175,(6(8+2syPK,2023-07-27 20:13:58
59,Eja,Mayasari,(0517) 334-1352,EjaMayasari_9505,eja_mayasari7720@gmail.com,6472,K8W08P9b%t,2023-12-07 05:33:05
60,Soleh,Halim,(014) 218-0535,SolehHalim_9952,soleh_halim4376@yahoo.com,3171,kP38TBq@@7,2023-07-26 00:41:16
61,Aslijan,Megantara,(0572) 007-6406,AslijanMegantara_2830,aslijan_megantara3775@hotmail.com,3175,*@4a3JPoN(,2023-12-07 23:05:55
62,Ikin,Setiawan,+62 (023) 525 3628,IkinSetiawan_2298,ikin_setiawan5723@yahoo.com,5171,)4QCQygXfE,2023-07-18 05:29:55
63,Harjo,Latupono,0835622481,HarjoLatupono_5035,harjo_latupono4644@hotmail.com,1375,CR)5UdKTMT,2023-12-29 01:50:12
64,Surya,Simanjuntak,(052) 479-7644,SuryaSimanjuntak_7381,surya_simanjuntak6243@gmail.com,3273,+4)ASTxm3Y,2023-09-04 17:14:53
65,Mulya,Hidayat,(0032) 241-8960,MulyaHidayat_1184,mulya_hidayat146@hotmail.com,1375,N6X&QXPj@w,2023-06-03 06:48:30
66,Heryanto,Prasetyo,+62 (490) 788 0659,HeryantoPrasetyo_1611,heryanto_prasetyo1663@yahoo.com,3175,K+hobfJk^7,2023-07-31 01:08:55
67,Adika,Budiyanto,+62 (098) 177 6743,AdikaBudiyanto_3950,adika_budiyanto2027@hotmail.com,3172,1%)V7mxb)n,2023-12-02 12:17:52
68,Safina,Simbolon,+62 (088) 683-5292,SafinaSimbolon_8481,safina_simbolon6920@hotmail.com,3471,yt7I!KTu#$,2023-11-08 03:23:00
69,Kambali,Hastuti,+62-99-587-5257,KambaliHastuti_9947,kambali_hastuti9575@hotmail.com,3273,@1MjM_nJcF,2023-09-22 11:03:16
70,Zulfa,Yolanda,+62 (038) 767 7524,ZulfaYolanda_2177,zulfa_yolanda212@hotmail.com,1371,!FLVmAn15r,2023-11-22 14:35:53
71,Kawaya,Gunarto,+62 (24) 082-8539,KawayaGunarto_5345,kawaya_gunarto2843@hotmail.com,3471,$Y13psGvP+,2023-08-16 18:17:40
72,Dewi,Prasetya,+62 (987) 281 3637,DewiPrasetya_5632,dewi_prasetya3891@yahoo.com,3172,NdD4@Z4bE@,2023-12-11 07:00:06
73,Kasim,Rahmawati,+62 (001) 431 3454,KasimRahmawati_9472,kasim_rahmawati5663@yahoo.com,3175,__W4r8Xf9i,2023-06-24 12:15:03
74,Salwa,Hutagalung,089 995 3251,SalwaHutagalung_7565,salwa_hutagalung240@yahoo.com,3471,49_Xg$z)$4,2023-12-05 11:21:33
75,Olga,Prasetya,(0817) 568-4115,OlgaPrasetya_9082,olga_prasetya3750@hotmail.com,3273,!cNjN&us(4,2023-07-20 22:48:54
76,Victoria,Hidayanto,(0068) 559-5861,VictoriaHidayanto_5410,victoria_hidayanto7311@yahoo.com,1375,@_7uOco$R5,2023-10-26 02:16:31
77,Hendra,Firgantoro,(0385) 381 1513,HendraFirgantoro_4461,hendra_firgantoro4746@hotmail.com,3171,0ME8P2gp(N,2023-06-11 03:27:41
78,Kenes,Oktaviani,+62 (004) 989-2448,KenesOktaviani_8200,kenes_oktaviani8093@gmail.com,3273,+G2wfDUpL8,2023-11-26 20:07:54
79,Luthfi,Hutasoit,+62 (070) 324-3544,LuthfiHutasoit_1462,luthfi_hutasoit9842@hotmail.com,3471,9^1JVKVrL4,2023-07-16 15:59:39
80,Cengkir,Nuraini,0883503448,CengkirNuraini_5089,cengkir_nuraini3719@gmail.com,3471,T$s$u8AcWR,2023-07-11 00:57:00
81,Agnes,Sihotang,084 410 2690,AgnesSihotang_3231,agnes_sihotang4848@gmail.com,3171,0FV!3+Wry^,2023-12-31 13:37:14
82,Raihan,Jailani,+62 (580) 901 3370,RaihanJailani_5433,raihan_jailani1607@yahoo.com,1375,@rqkDNiO4U,2023-11-30 03:50:16
83,Umay,Mahendra,0811999112,UmayMahendra_8187,umay_mahendra1947@hotmail.com,6472,A14Y5F1gF*,2023-09-10 02:37:48
84,Upik,Pradipta,+62 (364) 443 8368,UpikPradipta_2074,upik_pradipta4629@yahoo.com,3471,3Hx(0SYd!x,2023-10-05 14:49:40
85,Baktianto,Winarsih,+62-438-876-2919,BaktiantoWinarsih_6585,baktianto_winarsih3238@yahoo.com,3172,c(DudAnz%5,2023-10-15 22:02:16
86,Mumpuni,Anggriawan,087 872 6251,MumpuniAnggriawan_5327,mumpuni_anggriawan5775@hotmail.com,3175,Ny4cZ1Hb)1,2023-11-06 21:39:12
87,Wasis,Dabukke,(052) 147 8944,WasisDabukke_2872,wasis_dabukke30@hotmail.com,1371,$bTfWKkS48,2023-10-21 17:10:04
88,Hendri,Handayani,+62-401-335-7620,HendriHandayani_2259,hendri_handayani7352@gmail.com,3471,#T6WW)EzT6,2023-10-21 07:10:09
89,Irnanto,Simbolon,+62 (44) 259-4438,IrnantoSimbolon_9398,irnanto_simbolon2223@gmail.com,6471,!4!PV46g4J,2023-10-21 02:40:48
90,Panca,Nababan,(001) 519-0983,PancaNababan_6002,panca_nababan9944@gmail.com,3175,VA5^YmP$2+,2023-11-01 18:48:11
91,Ihsan,Handayani,+62 (03) 976 4020,IhsanHandayani_772,ihsan_handayani5100@gmail.com,3273,pL$6P6jLX0,2023-07-23 10:31:37
92,Lasmanto,Hasanah,+62 (036) 953-6509,LasmantoHasanah_6538,lasmanto_hasanah2305@hotmail.com,3573,AD8T5tlZ&i,2023-10-06 22:29:54
93,Damu,Setiawan,085 988 6168,DamuSetiawan_7991,damu_setiawan8563@hotmail.com,3573,KdZOJ$Me+7,2023-08-10 04:27:29
94,Icha,Haryanti,+62 (28) 108-6141,IchaHaryanti_6095,icha_haryanti7509@hotmail.com,1371,Q^9UL%Qtaa,2023-11-02 06:34:26
95,Eko,Megantara,+62-0579-293-3082,EkoMegantara_3255,eko_megantara4116@gmail.com,3471,(YH5J8Nr5n,2023-12-26 08:31:05
96,Mahmud,Hariyah,0880386550,MahmudHariyah_7167,mahmud_hariyah6897@yahoo.com,3573,1Fda4EnO(5,2023-10-16 19:28:08
97,Kartika,Putra,+62-60-528-5836,KartikaPutra_7281,kartika_putra1407@yahoo.com,3173,!7UF9$+evY,2023-08-18 11:42:03
98,Baktianto,Purnawati,+62 (877) 755 0185,BaktiantoPurnawati_6717,baktianto_purnawati3487@yahoo.com,1375,$%ERK2Xke2,2023-12-15 17:57:50
99,Salimah,Nurdiyanti,+62 (49) 390 4348,SalimahNurdiyanti_8481,salimah_nurdiyanti8825@gmail.com,3573,B6OCLkHH_y,2023-07-21 23:52:12
100,Labuh,Rajata,081 495 8354,LabuhRajata_6073,labuh_rajata5567@hotmail.com,3471,FT7AMw81!g,2023-06-07 07:24:21
